city,country,datetime,lat,long,maxtemp,humidity,cloudiness,windspeed
Talitsa,RU,1633809155,56.8804,60.0213,41.54,84,100,7.45
Cologne,DE,1633809156,50.9333,6.95,54.97,82,0,6.91
Trelew,AR,1633809157,-43.249,-65.3051,81.57,15,0,12.91
Benguela,AO,1633809160,-12.5763,13.4055,72.28,80,52,3.58
San Patricio,US,1633809010,28.017,-97.5169,90.01,43,0,12.33
Redlands,US,1633808521,34.0556,-117.1825,75.54,49,40,6.91
Churapcha,RU,1633809163,62.0025,132.4325,28.47,93,98,7.29
Menzel Salem,TN,1633809164,35.8567,8.4765,60.8,65,90,10.33
Peruíbe,BR,1633809166,-24.32,-46.9983,65.88,94,100,8.43
Ust'-Koksa,RU,1633809167,50.2696,85.6108,25.61,88,5,0.63
Wanning,CN,1633808967,18.8003,110.3967,77.92,87,100,11.63
Anadyr,RU,1633809169,64.75,177.4833,25.3,100,40,4.0
Gazojak,TM,1633809171,41.1875,61.4036,46.72,52,2,8.34
Mahébourg,MU,1633809174,-20.4081,57.7,73.69,78,75,18.41
Hanchuan,CN,1633809175,30.65,113.7667,64.51,86,100,11.43
Ascension,US,1633809177,30.2169,-90.9001,89.08,54,1,3.44
Yafran,LY,1633809179,32.0633,12.5286,63.03,74,58,8.25
Igrim,RU,1633809180,63.1906,64.4162,31.14,67,51,8.19
Fairlie,GB,1633809181,55.756,-4.8556,54.41,89,3,11.3
Mocuba,MZ,1633809184,-16.8392,36.9856,69.73,77,0,3.67
Ilulissat,GL,1633809185,69.2167,-51.1,22.89,73,100,5.3
Onega,RU,1633809186,63.9061,38.1404,40.82,95,100,5.53
Soubre,CI,1633809188,5.7856,-6.6083,74.46,97,19,3.47
Vanavara,RU,1633809189,60.34,102.2797,36.95,94,100,13.2
Cabo San Lucas,MX,1633809190,22.8909,-109.9124,100.51,63,6,4.0
Marawi,PH,1633809192,7.9986,124.2928,64.65,90,100,2.64
Asunción,PY,1633809167,-25.3007,-57.6359,74.64,94,90,6.91
Doha,QA,1633809119,25.2867,51.5333,91.38,42,0,11.5
Divnogorsk,RU,1633809195,55.9594,92.3619,45.09,87,100,11.27
Garden City,US,1633809112,42.3256,-83.331,78.93,63,75,9.22
Excelsior Springs,US,1633809197,39.3392,-94.2261,88.66,47,1,9.22
Kostrzyn,PL,1633809199,52.3985,17.2281,46.67,63,26,7.31
Bushehr,IR,1633809200,28.9684,50.8385,89.69,45,0,18.41
Ures,MX,1633809201,29.4333,-110.4,97.52,23,0,11.25
Makakilo City,US,1633809203,21.3469,-158.0858,77.32,75,90,5.75
Bhādāsar,IN,1633809204,28.2833,74.3167,86.88,31,0,8.08
Kundiawa,PG,1633809205,-6.0167,144.9667,63.0,97,96,1.66
Mount Isa,AU,1633809207,-20.7333,139.5,83.97,34,75,3.44
Comodoro Rivadavia,AR,1633809208,-45.8667,-67.5,75.06,33,0,8.05
Berezanka,UA,1633809209,46.8526,31.388,45.9,47,28,9.91
Jizan,SA,1633809211,17.3333,42.6667,86.94,64,2,3.02
Hay River,CA,1633809047,60.8156,-115.7999,44.58,81,90,5.75
Kulunda,RU,1633809213,52.566,78.9385,40.91,76,5,8.08
Tarabuco,BO,1633809214,-19.1667,-64.9167,60.71,57,99,11.23
Pak Phanang,TH,1633809216,8.3511,100.202,78.96,84,100,9.26
Nikki,BJ,1633809217,9.9401,3.2108,80.56,61,78,2.91
Erenhot,CN,1633809218,43.6475,111.9767,38.35,48,0,17.69
Kalmunai,LK,1633809220,7.4167,81.8167,80.78,72,100,4.27
West Fargo,US,1633808926,46.875,-96.9004,68.02,83,90,1.99
Isangel,VU,1633809222,-19.55,169.2667,68.11,88,29,3.44
